City/Town,State,County,Latitude,Longitude,Avg Daily Irradiance,Est. Energy Production Per Day
Wartburg,TN,Morgan,36.1038,-84.5859,4.262,1.5343
Appleton City,MO,St. Clair,38.1906,-94.031,4.3755,1.5752
Windsor,PA,York,39.9163,-76.584,4.1694,1.501
Cana,VA,Carroll,36.5816,-80.6688,4.4248,1.5929
Paincourtville,LA,Assumption,29.9886,-91.0554,4.8286,1.7383
Richmond,MN,Stearns,45.4547,-94.5135,4.0474,1.4571
Woodland Hills,UT,Utah,40.0132,-111.6558,4.923,1.7723
Woodsville,NH,Grafton,44.1423,-72.0256,3.5102,1.2637
Olla,LA,LaSalle,31.8981,-92.2404,4.6122,1.6604
Middleburg,PA,Snyder,40.7892,-77.0445,3.9053,1.4059
New Hackensack,NY,Dutchess,41.6194,-73.8593,3.9479,1.4212
Tower City,PA,Schuylkill,40.5884,-76.553,3.9593,1.4253
Lexington,MI,Sanilac,43.2671,-82.5374,3.7035,1.3333
Sardinia,OH,Brown,39.0071,-83.802,4.0606,1.4618
Loyal,WI,Clark,44.7366,-90.4956,3.9197,1.4111
Lone Jack,MO,Jackson,38.8706,-94.1852,4.3755,1.5752
Alto,GA,Banks,34.4649,-83.5727,4.5421,1.6352
Cordry Sweetwater Lakes,IN,Brown,39.3085,-86.1227,4.0917,1.473
Glenns Ferry,ID,Elmore,42.9504,-115.3067,4.6526,1.6749
Maple Bluff,WI,Dane,43.1131,-89.3718,3.9028,1.405
Plainview,NE,Pierce,42.3534,-97.7871,4.3504,1.5661
Farmingdale,NJ,Monmouth,40.1985,-74.1702,4.0175,1.4463
Mansfield,AR,Scott,35.0635,-94.2373,4.5001,1.62
Shoreacres,TX,Harris,29.6203,-95.0191,4.7376,1.7055
Union City,OK,Canadian,35.4015,-97.9047,4.8256,1.7372
Elkader,IA,Clayton,42.8574,-91.4028,4.049,1.4576
Onset,MA,Plymouth,41.7481,-70.667,4.0126,1.4445
Dilkon,AZ,Navajo,35.3606,-110.3155,5.7243,2.0607
Woodland Heights,PA,Venango,41.4108,-79.7048,3.7514,1.3505
Lower Lake,CA,Lake,38.9118,-122.6084,5.268,1.8965
Waterflow,NM,San Juan,36.7568,-108.4673,5.6216,2.0238
Six Shooter Canyon,AZ,Gila,33.3569,-110.7719,5.7954,2.0863
Magnolia Springs,AL,Baldwin,30.4003,-87.7749,4.8569,1.7485
Surf City,NJ,Ocean,39.6646,-74.1711,4.1491,1.4937
Gillett,WI,Oconto,44.8897,-88.3063,3.843,1.3835
Charlotte,TX,Atascosa,28.8593,-98.7006,5.0261,1.8094
Coon Rapids,IA,Carroll,41.8747,-94.6785,4.2708,1.5375
Boyce,LA,Rapides,31.3907,-92.67,4.6122,1.6604
Republic,PA,Fayette,39.9664,-79.8768,3.904,1.4054
Lone Pine,CA,Inyo,36.5774,-118.0777,5.4539,1.9634
Sibley,LA,Webster,32.5422,-93.2947,4.5969,1.6549
Palmyra,IN,Harrison,38.4082,-86.1086,4.1609,1.4979
Sutton-Alpine,AK,Matanuska-Susitna,61.7428,-148.8548,2.5749,0.927
Victory Lakes,NJ,Gloucester,39.6305,-74.9663,4.1491,1.4937
Manton,MI,Wexford,44.4114,-85.401,3.689,1.328
Indios,PR,Guayanilla,17.9942,-66.821,5.877,2.1157
Duboistown,PA,Lycoming,41.2228,-77.038,3.8182,1.3746
Pioneer,CA,Amador,38.4337,-120.586,5.308,1.9109
Snyder,OK,Kiowa,34.655,-98.9535,5.0453,1.8163
Atlantic Beach,NY,Nassau,40.5893,-73.7295,4.1004,1.4761
Lenape Heights,PA,Armstrong,40.7633,-79.5217,3.8265,1.3775
Edinburg,VA,Shenandoah,38.8235,-78.5634,4.2406,1.5266
Camp Hill,AL,Tallapoosa,32.8002,-85.6536,4.6596,1.6775
Chevy Chase Heights,PA,Indiana,40.6403,-79.1456,3.8265,1.3775
Nellieburg,MS,Lauderdale,32.3974,-88.783,4.6393,1.6701
Falls City,OR,Polk,44.8648,-123.4372,4.0182,1.4466
Sheldon,IL,Iroquois,40.771,-87.5657,4.0377,1.4536
Albion,PA,Erie,41.8904,-80.3641,3.8039,1.3694
Henning,TN,Lauderdale,35.682,-89.577,4.4866,1.6152
Redington Beach,FL,Pinellas,27.8128,-82.8096,5.2308,1.8831
Halifax,VA,Halifax,36.7612,-78.9279,4.4526,1.6029
Cordova,NC,Richmond,34.9103,-79.8119,4.5809,1.6491
Alamosa East,CO,Alamosa,37.4766,-105.8397,5.3533,1.9272
Gloster,MS,Amite,31.1951,-91.0176,4.679,1.6844
Tatum,TX,Rusk,32.3159,-94.5189,4.6152,1.6615
Munday,TX,Knox,33.4471,-99.624,5.1906,1.8686
Cashion,OK,Kingfisher,35.8009,-97.6771,4.8256,1.7372
Ramos,PR,Luquillo,18.3389,-65.7111,5.6973,2.051
Hillsboro,WI,Vernon,43.656,-90.3365,3.9353,1.4167
Long Creek,IL,Macon,39.8053,-88.8474,4.1505,1.4942
Johnson City,KS,Stanton,37.5703,-101.7447,5.1511,1.8544
Heppner,OR,Morrow,45.3547,-119.556,4.2808,1.5411
Loretto,PA,Cambria,40.5086,-78.6349,3.8148,1.3733
Westminster,TX,Collin,33.3649,-96.4598,4.7418,1.707
Bangor,WI,La Crosse,43.8937,-90.9934,3.9353,1.4167
Locust Fork,AL,Blount,33.8957,-86.6302,4.5741,1.6467
