City/Town,State,County,Latitude,Longitude,Avg Daily Irradiance,Est. Energy Production Per Day
New York,NY,Queens,40.6943,-73.9249,4.1004,1.4761
Los Angeles,CA,Los Angeles,34.1141,-118.4068,5.6778,2.044
Chicago,IL,Cook,41.8375,-87.6866,3.9205,1.4114
Miami,FL,Miami-Dade,25.784,-80.2101,5.0915,1.8329
Houston,TX,Harris,29.786,-95.3885,4.7376,1.7055
Dallas,TX,Dallas,32.7935,-96.7667,4.7744,1.7188
Philadelphia,PA,Philadelphia,40.0077,-75.1339,3.9492,1.4217
Atlanta,GA,Fulton,33.7628,-84.422,4.5579,1.6408
Washington,DC,District of Columbia,38.9047,-77.0163,4.2275,1.5219
Boston,MA,Suffolk,42.3188,-71.0852,3.9001,1.404
Phoenix,AZ,Maricopa,33.5722,-112.0892,5.8997,2.1239
Detroit,MI,Wayne,42.3834,-83.1024,3.8465,1.3847
Seattle,WA,King,47.6211,-122.3244,3.6009,1.2963
San Francisco,CA,San Francisco,37.7558,-122.4449,4.8794,1.7566
San Diego,CA,San Diego,32.8313,-117.1222,5.0458,1.8165
Minneapolis,MN,Hennepin,44.9635,-93.2678,3.9987,1.4395
Tampa,FL,Hillsborough,27.9945,-82.4447,5.2308,1.8831
Brooklyn,NY,Kings,40.6501,-73.9496,4.1004,1.4761
Denver,CO,Denver,39.762,-104.8758,4.9126,1.7685
Queens,NY,Queens,40.7498,-73.7976,4.1004,1.4761
Riverside,CA,Riverside,33.9381,-117.3949,5.4726,1.9701
Las Vegas,NV,Clark,36.2333,-115.2654,5.6517,2.0346
Baltimore,MD,Baltimore,39.3051,-76.6144,4.1694,1.501
St. Louis,MO,St. Louis,38.6359,-90.2451,4.2585,1.5331
Portland,OR,Multnomah,45.5371,-122.65,3.8231,1.3763
San Antonio,TX,Bexar,29.4632,-98.5238,4.952,1.7827
Sacramento,CA,Sacramento,38.5677,-121.4685,5.333,1.9199
Austin,TX,Travis,30.3005,-97.7522,4.9071,1.7666
Orlando,FL,Orange,28.4773,-81.337,4.9408,1.7787
San Juan,PR,San Juan,18.3985,-66.061,5.5331,1.9919
San Jose,CA,Santa Clara,37.3012,-121.848,5.4264,1.9535
Pittsburgh,PA,Allegheny,40.4397,-79.9763,3.8265,1.3775
Indianapolis,IN,Marion,39.7771,-86.1458,4.0917,1.473
Manhattan,NY,New York,40.7834,-73.9662,4.1004,1.4761
Cincinnati,OH,Hamilton,39.1413,-84.506,4.0729,1.4662
Kansas City,MO,Jackson,39.1238,-94.5541,4.3191,1.5549
Cleveland,OH,Cuyahoga,41.4764,-81.6805,3.775,1.359
Columbus,OH,Franklin,39.9862,-82.9855,3.9859,1.4349
Bronx,NY,Bronx,40.8501,-73.8662,4.1004,1.4761
Virginia Beach,VA,Virginia Beach,36.7335,-76.0435,4.4303,1.5949
Charlotte,NC,Mecklenburg,35.2083,-80.8303,4.5416,1.635
Milwaukee,WI,Milwaukee,43.0642,-87.9675,3.7251,1.341
Providence,RI,Providence,41.823,-71.4187,4.1025,1.4769
Jacksonville,FL,Duval,30.3322,-81.6749,4.7861,1.723
Nashville,TN,Davidson,36.1715,-86.7842,4.3173,1.5542
Salt Lake City,UT,Salt Lake,40.7776,-111.9311,4.923,1.7723
Raleigh,NC,Wake,35.8324,-78.6429,4.5425,1.6353
Richmond,VA,Richmond,37.5295,-77.4756,4.3699,1.5732
Memphis,TN,Shelby,35.1087,-89.9663,4.4866,1.6152
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,4.8256,1.7372
Hartford,CT,Capitol,41.7661,-72.6834,4.0035,1.4413
Louisville,KY,Jefferson,38.1663,-85.6485,4.1544,1.4956
Buffalo,NY,Erie,42.9018,-78.8487,3.695,1.3302
New Orleans,LA,Orleans,30.0687,-89.9288,4.7195,1.699
Fort Worth,TX,Tarrant,32.7817,-97.3474,4.9167,1.77
Bridgeport,CT,Greater Bridgeport,41.1918,-73.1954,3.9479,1.4212
Tucson,AZ,Pima,32.1541,-110.8787,5.8832,2.118
El Paso,TX,El Paso,31.8476,-106.43,5.9393,2.1381
Omaha,NE,Douglas,41.2627,-96.0529,4.3532,1.5672
McAllen,TX,Hidalgo,26.2252,-98.2467,5.1452,1.8523
Birmingham,AL,Jefferson,33.5279,-86.7971,4.5741,1.6467
Albuquerque,NM,Bernalillo,35.1054,-106.6465,5.5494,1.9978
Tulsa,OK,Tulsa,36.1283,-95.9042,4.5563,1.6403
Fresno,CA,Fresno,36.783,-119.7939,5.4624,1.9665
Charleston,SC,Charleston,32.8168,-79.9687,4.7535,1.7113
Rochester,NY,Monroe,43.168,-77.6162,3.6703,1.3213
Dayton,OH,Montgomery,39.7805,-84.2003,4.0729,1.4662
Cape Coral,FL,Lee,26.6443,-81.9957,5.1341,1.8483
Mission Viejo,CA,Orange,33.6096,-117.6551,5.4726,1.9701
Colorado Springs,CO,El Paso,38.8674,-104.7605,5.0743,1.8267
Baton Rouge,LA,East Baton Rouge,30.442,-91.1311,4.6944,1.69
Allentown,PA,Lehigh,40.5961,-75.4756,3.9492,1.4217
Ogden,UT,Weber,41.2279,-111.9682,4.8707,1.7535
Provo,UT,Utah,40.2457,-111.6457,4.923,1.7723
Knoxville,TN,Knox,35.9692,-83.9496,4.4037,1.5853
Grand Rapids,MI,Kent,42.9619,-85.6562,3.8138,1.373
Columbia,SC,Richland,34.0378,-80.9036,4.5959,1.6545
Albany,NY,Albany,42.6664,-73.7987,3.8074,1.3707
Bakersfield,CA,Kern,35.3529,-119.0359,5.6404,2.0305
New Haven,CT,South Central Connecticut,41.3113,-72.9246,4.0035,1.4413
Des Moines,IA,Polk,41.5725,-93.6105,4.2286,1.5223
Akron,OH,Summit,41.0798,-81.5219,3.775,1.359
Palm Bay,FL,Brevard,27.9631,-80.6593,5.0288,1.8104
Concord,CA,Contra Costa,37.9722,-122.0016,4.8794,1.7566
Wichita,KS,Sedgwick,37.6895,-97.3443,4.7289,1.7024
Mesa,AZ,Maricopa,33.4015,-111.7178,5.8669,2.1121
Harrisburg,PA,Dauphin,40.2752,-76.8843,3.9593,1.4253
Staten Island,NY,Richmond,40.5834,-74.1496,4.0175,1.4463
Toledo,OH,Lucas,41.6638,-83.5827,3.9523,1.4228
Worcester,MA,Worcester,42.2705,-71.8079,3.9001,1.404
Long Beach,CA,Los Angeles,33.7977,-118.167,5.1711,1.8616
Port St. Lucie,FL,St. Lucie,27.2796,-80.3884,5.0288,1.8104
Little Rock,AR,Pulaski,34.7256,-92.3577,4.4586,1.6051
Reno,NV,Washoe,39.5497,-119.8483,5.2929,1.9054
Spokane,WA,Spokane,47.6671,-117.433,3.8932,1.4016
Madison,WI,Dane,43.0822,-89.393,3.9028,1.405
Boise,ID,Ada,43.6005,-116.2308,4.5942,1.6539
Bonita Springs,FL,Lee,26.3558,-81.7859,5.1341,1.8483
Denton,TX,Denton,33.2175,-97.1418,4.8974,1.7631
Oakland,CA,Alameda,37.7904,-122.2166,4.8794,1.7566
Springfield,MA,Hampden,42.1155,-72.5395,3.8491,1.3857
Augusta,GA,Richmond,33.3645,-82.0708,4.6275,1.6659
Kissimmee,FL,Osceola,28.3041,-81.4169,4.9408,1.7787
Winston-Salem,NC,Forsyth,36.1029,-80.261,4.4248,1.5929
Stockton,CA,San Joaquin,37.9765,-121.3109,5.4264,1.9535
Syracuse,NY,Onondaga,43.0407,-76.1437,3.6955,1.3304
Chattanooga,TN,Hamilton,35.066,-85.2481,4.381,1.5772
Lancaster,PA,Lancaster,40.042,-76.3012,3.9593,1.4253
Greenville,SC,Greenville,34.8354,-82.3646,4.6288,1.6664
Durham,NC,Durham,35.9792,-78.9022,4.5425,1.6353
Pensacola,FL,Escambia,30.4413,-87.1911,4.8569,1.7485
Fayetteville,AR,Washington,36.0714,-94.1661,4.5144,1.6252
Arlington,TX,Tarrant,32.6998,-97.125,4.9167,1.77
Aurora,CO,Arapahoe,39.7083,-104.7237,4.9126,1.7685
Oxnard,CA,Ventura,34.1964,-119.1815,5.5726,2.0061
Indio,CA,Riverside,33.7346,-116.2346,5.8457,2.1045
Scranton,PA,Lackawanna,41.4044,-75.6649,3.7647,1.3553
Victorville,CA,San Bernardino,34.5277,-117.3536,5.8149,2.0934
Trenton,NJ,Mercer,40.2237,-74.7641,4.0175,1.4463
Modesto,CA,Stanislaus,37.6375,-121.0028,5.4264,1.9535
Huntsville,AL,Madison,34.6981,-86.6412,4.499,1.6196
Honolulu,HI,Honolulu,21.3294,-157.846,5.8149,2.0934
Greensboro,NC,Guilford,36.0956,-79.8271,4.4481,1.6013
Anaheim,CA,Orange,33.839,-117.8574,5.4726,1.9701
Corpus Christi,TX,Nueces,27.7254,-97.3767,4.9197,1.7711
Fort Wayne,IN,Allen,41.0888,-85.1436,3.8924,1.4013
Fort Collins,CO,Larimer,40.5477,-105.0656,4.7164,1.6979
Jackson,MS,Hinds,32.3157,-90.2125,4.6853,1.6867
Myrtle Beach,SC,Horry,33.7094,-78.8844,4.6748,1.6829
Fayetteville,NC,Cumberland,35.085,-78.9772,4.5425,1.6353
Antioch,CA,Contra Costa,37.9787,-121.796,5.4264,1.9535
Lansing,MI,Ingham,42.7142,-84.5601,3.8391,1.3821
Lexington,KY,Fayette,38.0423,-84.4587,4.1444,1.492
Mobile,AL,Mobile,30.6782,-88.1162,4.7763,1.7195
Youngstown,OH,Mahoning,41.0993,-80.6463,3.8039,1.3694
Henderson,NV,Clark,36.0133,-115.0381,5.6517,2.0346
Savannah,GA,Chatham,32.0286,-81.1821,4.7039,1.6934
Poughkeepsie,NY,Dutchess,41.695,-73.9211,3.9479,1.4212
Santa Ana,CA,Orange,33.7367,-117.8819,5.4726,1.9701
Ann Arbor,MI,Washtenaw,42.2759,-83.731,3.8465,1.3847
St. Paul,MN,Ramsey,44.9478,-93.1039,3.9987,1.4395
Newark,NJ,Essex,40.7245,-74.1725,4.0175,1.4463
Irvine,CA,Orange,33.6772,-117.7738,5.4726,1.9701
Santa Rosa,CA,Sonoma,38.4458,-122.7067,5.268,1.8965
Canton,OH,Stark,40.8078,-81.3676,3.8937,1.4017
Asheville,NC,Buncombe,35.5707,-82.5537,4.4563,1.6043
Flint,MI,Genesee,43.0236,-83.6921,3.7992,1.3677
Winter Haven,FL,Polk,28.0118,-81.7014,4.9408,1.7787
Anchorage,AK,Anchorage,61.1508,-149.1091,2.5749,0.927
Lincoln,NE,Lancaster,40.8099,-96.6784,4.439,1.598
Concord,NC,Cabarrus,35.3933,-80.6369,4.5416,1.635
Jersey City,NJ,Hudson,40.7184,-74.0686,4.0175,1.4463
Springfield,MO,Greene,37.1943,-93.2916,4.4344,1.5964
Plano,TX,Collin,33.0502,-96.7486,4.7418,1.707
Shreveport,LA,Caddo,32.4653,-93.7955,4.5969,1.6549
Davenport,IA,Scott,41.5565,-90.6053,4.0687,1.4647
Lubbock,TX,Lubbock,33.5657,-101.8879,5.499,1.9796
Lakeland,FL,Polk,28.0557,-81.9545,4.9408,1.7787
South Bend,IN,St. Joseph,41.6767,-86.2696,3.8863,1.3991
Chula Vista,CA,San Diego,32.6281,-117.0144,5.0458,1.8165
Chandler,AZ,Maricopa,33.2825,-111.8514,5.8669,2.1121
Rockford,IL,Winnebago,42.2596,-89.064,3.984,1.4342
Reading,PA,Berks,40.34,-75.9267,3.9492,1.4217
Eugene,OR,Lane,44.0564,-123.1174,4.0182,1.4466
Wilmington,NC,New Hanover,34.2099,-77.8866,4.641,1.6708
Santa Clarita,CA,Los Angeles,34.4175,-118.4964,5.6778,2.044
Gilbert,AZ,Maricopa,33.31,-111.7463,5.8669,2.1121
Salem,OR,Marion,44.9233,-123.0244,4.0182,1.4466
Killeen,TX,Bell,31.0753,-97.7297,4.8957,1.7625
Round Lake Beach,IL,Lake,42.3791,-88.0811,3.9446,1.4201
Columbus,GA,Muscogee,32.51,-84.8771,4.6561,1.6762
North Las Vegas,NV,Clark,36.2883,-115.0888,5.6517,2.0346
Kennewick,WA,Benton,46.1978,-119.1732,4.2752,1.5391
St. Petersburg,FL,Pinellas,27.7931,-82.6652,5.2308,1.8831
Tallahassee,FL,Leon,30.4551,-84.2527,4.7712,1.7176
Laredo,TX,Webb,27.5625,-99.4874,5.2189,1.8788
Irving,TX,Dallas,32.8583,-96.9702,4.7744,1.7188
Peoria,IL,Peoria,40.752,-89.6154,4.1026,1.4769
Montgomery,AL,Montgomery,32.3482,-86.2668,4.6675,1.6803
Chesapeake,VA,Chesapeake,36.6778,-76.3023,4.4303,1.5949
Glendale,AZ,Maricopa,33.5791,-112.2311,5.8997,2.1239
York,PA,York,39.9651,-76.7315,4.1694,1.501
Nashua,NH,Hillsborough,42.7491,-71.491,3.9001,1.404
Garland,TX,Dallas,32.91,-96.6304,4.7744,1.7188
Scottsdale,AZ,Maricopa,33.6872,-111.8651,5.8669,2.1121
Lafayette,LA,Lafayette,30.2082,-92.0325,4.6591,1.6773
Norfolk,VA,Norfolk,36.8945,-76.259,4.4303,1.5949
Arlington,VA,Arlington,38.8786,-77.1011,4.2275,1.5219
Appleton,WI,Outagamie,44.278,-88.3892,3.843,1.3835
Aguadilla,PR,Aguadilla,18.4382,-67.1537,5.7748,2.0789
Rock Hill,SC,York,34.9415,-81.0241,4.5789,1.6484
Fremont,CA,Alameda,37.5265,-121.9843,5.4264,1.9535
Fargo,ND,Cass,46.8651,-96.8292,4.0705,1.4654
Gulfport,MS,Harrison,30.4274,-89.0704,4.7195,1.699
Bremerton,WA,Kitsap,47.5436,-122.7121,3.6009,1.2963
Green Bay,WI,Brown,44.5148,-87.9895,3.718,1.3385
Enterprise,NV,Clark,36.0091,-115.2278,5.6517,2.0346
Hialeah,FL,Miami-Dade,25.8696,-80.3045,5.0915,1.8329
Deltona,FL,Volusia,28.905,-81.2137,4.9408,1.7787
San Bernardino,CA,San Bernardino,34.1416,-117.2943,5.8149,2.0934
Gainesville,FL,Alachua,29.6804,-82.3459,4.8675,1.7523
Spring Valley,NV,Clark,36.0952,-115.2636,5.6517,2.0346
Tacoma,WA,Pierce,47.2431,-122.4531,3.6009,1.2963
Roanoke,VA,Roanoke,37.2785,-79.9581,4.3419,1.5631
Brownsville,TX,Cameron,25.9975,-97.458,5.0072,1.8026
College Station,TX,Brazos,30.5852,-96.2959,4.8119,1.7323
Olympia,WA,Thurston,47.0417,-122.8959,3.6009,1.2963
Clarksville,TN,Montgomery,36.5692,-87.3413,4.3403,1.5625
Yonkers,NY,Westchester,40.9466,-73.8673,4.1004,1.4761
Moreno Valley,CA,Riverside,33.9244,-117.2045,5.4726,1.9701
Thousand Oaks,CA,Ventura,34.1914,-118.8756,5.6778,2.044
Portland,ME,Cumberland,43.6773,-70.2715,3.8342,1.3803
Fontana,CA,San Bernardino,34.0968,-117.4599,5.8149,2.0934
Hickory,NC,Catawba,35.741,-81.3223,4.5079,1.6228
Amarillo,TX,Potter,35.1984,-101.8316,5.3482,1.9254
Sioux Falls,SD,Minnehaha,43.5396,-96.7311,4.2722,1.538
Evansville,IN,Vanderburgh,37.9881,-87.5341,4.3002,1.5481
Huntington,WV,Cabell,38.4109,-82.4345,4.0571,1.4606
Waterbury,CT,Naugatuck Valley,41.5582,-73.0361,3.9479,1.4212
Frisco,TX,Collin,33.156,-96.8216,4.7418,1.707
Lorain,OH,Lorain,41.4409,-82.184,3.8516,1.3866
Kalamazoo,MI,Kalamazoo,42.2749,-85.5882,3.8138,1.373
Galveston,TX,Galveston,29.2484,-94.8913,4.7956,1.7264
Spartanburg,SC,Spartanburg,34.9442,-81.9251,4.5789,1.6484
Santa Barbara,CA,Santa Barbara,34.4285,-119.7202,5.5726,2.0061
Sunrise Manor,NV,Clark,36.1783,-115.0487,5.6517,2.0346
Huntington Beach,CA,Orange,33.696,-118.0018,5.1711,1.8616
Grand Prairie,TX,Dallas,32.6871,-97.0208,4.9167,1.77
Overland Park,KS,Johnson,38.887,-94.687,4.3755,1.5752
McKinney,TX,Collin,33.2016,-96.667,4.7418,1.707
Waco,TX,McLennan,31.5599,-97.1882,4.8957,1.7625
Hagerstown,MD,Washington,39.6401,-77.7217,4.0947,1.4741
Glendale,CA,Los Angeles,34.1819,-118.2468,5.6778,2.044
Nampa,ID,Canyon,43.5844,-116.5638,4.5942,1.6539
Peoria,AZ,Maricopa,33.7843,-112.2989,5.8997,2.1239
Cedar Rapids,IA,Linn,41.9662,-91.6783,4.1197,1.4831
Vancouver,WA,Clark,45.6366,-122.5967,3.8231,1.3763
Paradise,NV,Clark,36.0872,-115.1355,5.6517,2.0346
Ocala,FL,Marion,29.178,-82.1511,4.8675,1.7523
Erie,PA,Erie,42.1167,-80.0733,3.9065,1.4063
Newport News,VA,Newport News,37.1051,-76.5185,4.4078,1.5868
Frederick,MD,Frederick,39.4337,-77.4141,4.0947,1.4741
Murfreesboro,TN,Rutherford,35.849,-86.4121,4.4041,1.5855
Fort Lauderdale,FL,Broward,26.1412,-80.1464,4.9788,1.7924
Aurora,IL,Kane,41.7638,-88.2902,3.9776,1.4319
Tempe,AZ,Maricopa,33.3881,-111.9319,5.8669,2.1121
Danbury,CT,Western Connecticut,41.4015,-73.4709,3.9479,1.4212
Spring Hill,FL,Hernando,28.4798,-82.53,5.0641,1.8231
Gastonia,NC,Gaston,35.2494,-81.1854,4.5079,1.6228
Salinas,CA,Monterey,36.6883,-121.6317,5.3507,1.9263
Fredericksburg,VA,Fredericksburg,38.2992,-77.4872,4.2275,1.5219
Ontario,CA,San Bernardino,34.0393,-117.6064,5.8149,2.0934
Elk Grove,CA,Sacramento,38.4161,-121.3842,5.333,1.9199
Gainesville,GA,Hall,34.2902,-83.8294,4.5421,1.6352
Cary,NC,Wake,35.7819,-78.8195,4.5425,1.6353
Rancho Cucamonga,CA,San Bernardino,34.1247,-117.5667,5.8149,2.0934
Oceanside,CA,San Diego,33.2247,-117.3083,5.4726,1.9701
Garden Grove,CA,Orange,33.7787,-117.9601,5.4726,1.9701
Lancaster,CA,Los Angeles,34.6935,-118.1753,5.6778,2.044
Hemet,CA,Riverside,33.7341,-116.9969,5.8457,2.1045
Pembroke Pines,FL,Broward,26.0128,-80.3382,4.9788,1.7924
Panama City,FL,Bay,30.1995,-85.6003,4.7896,1.7243
Vallejo,CA,Solano,38.1125,-122.2342,5.268,1.8965
Manchester,NH,Hillsborough,42.9848,-71.4447,3.9001,1.404
Medford,OR,Jackson,42.3372,-122.854,4.6509,1.6743
Bayamón,PR,Bayamón,18.3794,-66.1635,5.5331,1.9919
Mauldin,SC,Greenville,34.7821,-82.3032,4.6288,1.6664
Santa Cruz,CA,Santa Cruz,36.9789,-122.0346,4.5952,1.6543
Palmdale,CA,Los Angeles,34.5944,-118.1057,5.6778,2.044
Norwich,CT,Southeastern Connecticut,41.5495,-72.0882,4.0035,1.4413
Muskegon,MI,Muskegon,43.2281,-86.2562,3.7807,1.3611
Leesburg,FL,Lake,28.7672,-81.8962,4.9408,1.7787
High Point,NC,Guilford,35.991,-79.9937,4.5281,1.6301
Tuscaloosa,AL,Tuscaloosa,33.2348,-87.5268,4.5827,1.6498
Visalia,CA,Tulare,36.3276,-119.3269,5.4624,1.9665
Marysville,WA,Snohomish,48.0809,-122.1561,3.6569,1.3165
Merced,CA,Merced,37.3057,-120.4779,5.3991,1.9437
Hayward,CA,Alameda,37.6328,-122.0766,4.8794,1.7566
Lafayette,IN,Tippecanoe,40.3991,-86.8593,4.0341,1.4523
Springfield,IL,Sangamon,39.7709,-89.654,4.1909,1.5087
Corona,CA,Riverside,33.8616,-117.5649,5.4726,1.9701
Paterson,NJ,Passaic,40.9147,-74.1624,4.0175,1.4463
Alexandria,VA,Alexandria,38.8185,-77.0861,4.2275,1.5219
Macon,GA,Bibb,32.8065,-83.6974,4.6742,1.6827
Binghamton,NY,Broome,42.1014,-75.9093,3.7195,1.339
Lakewood,CO,Jefferson,39.6977,-105.1172,4.83,1.7388
Kansas City,KS,Wyandotte,39.1235,-94.7443,4.3191,1.5549
Odessa,TX,Ector,31.8801,-102.3448,5.6935,2.0497
Sunnyvale,CA,Santa Clara,37.3836,-122.0255,4.8794,1.7566
New Bedford,MA,Bristol,41.6697,-70.9428,4.0126,1.4445
Hollywood,FL,Broward,26.0293,-80.1679,4.9788,1.7924
South Lyon,MI,Oakland,42.4614,-83.6526,3.8465,1.3847
Escondido,CA,San Diego,33.1348,-117.0723,5.4726,1.9701
Lake Charles,LA,Calcasieu,30.201,-93.2111,4.6124,1.6605
Pasadena,TX,Harris,29.6575,-95.1498,4.7376,1.7055
Bellevue,WA,King,47.5951,-122.1535,3.6009,1.2963
Joliet,IL,Will,41.5188,-88.1499,3.9776,1.4319
Champaign,IL,Champaign,40.1142,-88.2737,4.0565,1.4603
Pomona,CA,Los Angeles,34.0585,-117.7626,5.8149,2.0934
Fairfield,CA,Solano,38.2583,-122.0335,5.268,1.8965
Mesquite,TX,Dallas,32.7602,-96.5865,4.7744,1.7188
Elkhart,IN,Elkhart,41.6916,-85.9627,3.8924,1.4013
Naperville,IL,DuPage,41.748,-88.1659,3.9776,1.4319
St. George,UT,Washington,37.0758,-113.5752,5.4492,1.9617
Roseville,CA,Placer,38.7703,-121.3196,5.333,1.9199
Topeka,KS,Shawnee,39.0346,-95.6955,4.3906,1.5806
Burlington,NC,Alamance,36.076,-79.4685,4.4481,1.6013
Warner Robins,GA,Houston,32.5961,-83.6527,4.6742,1.6827
Surprise,AZ,Maricopa,33.6815,-112.4515,5.8997,2.1239
Torrance,CA,Los Angeles,33.8346,-118.3416,5.1711,1.8616
Santa Maria,CA,Santa Barbara,34.9333,-120.4431,5.1871,1.8674
Athens,GA,Clarke,33.9508,-83.3689,4.5944,1.654
Houma,LA,Terrebonne,29.58,-90.7059,4.7256,1.7012
Columbia,MO,Boone,38.9472,-92.3268,4.3139,1.553
Fullerton,CA,Orange,33.8841,-117.9279,5.4726,1.9701
Olathe,KS,Johnson,38.8833,-94.82,4.3755,1.5752
Thornton,CO,Adams,39.9197,-104.9438,4.9126,1.7685
Greeley,CO,Weld,40.4152,-104.7706,4.8031,1.7291
Beaumont,TX,Jefferson,30.0849,-94.1451,4.6433,1.6716
Las Cruces,NM,Doña Ana,32.3265,-106.7893,5.7403,2.0665
Midland,TX,Midland,32.0243,-102.1147,5.6974,2.0511
Metairie,LA,Jefferson,29.9977,-90.178,4.7256,1.7012
Carolina,PR,Carolina,18.4054,-65.9792,5.6973,2.051
West Valley City,UT,Salt Lake,40.6886,-112.0123,4.92,1.7712
Orange,CA,Orange,33.8038,-117.8218,5.4726,1.9701
Warren,MI,Macomb,42.4934,-83.027,3.8465,1.3847
Grand Junction,CO,Mesa,39.0877,-108.5673,5.1368,1.8492
Tyler,TX,Smith,32.3184,-95.3062,4.6699,1.6812
Pasadena,CA,Los Angeles,34.1597,-118.139,5.6778,2.044
Hampton,VA,Hampton,37.0551,-76.363,4.4078,1.5868
Bloomington,IL,McLean,40.4757,-88.9703,4.0565,1.4603
Elizabeth,NJ,Union,40.6658,-74.1913,4.0175,1.4463
Stamford,CT,Western Connecticut,41.1039,-73.5585,3.9479,1.4212
Yuma,AZ,Yuma,32.5995,-114.5491,5.9943,2.1579
Kent,WA,King,47.3887,-122.2128,3.6009,1.2963
Miramar,FL,Broward,25.9773,-80.3351,5.0915,1.8329
Coeur d'Alene,ID,Kootenai,47.704,-116.7936,3.8932,1.4016
Coral Springs,FL,Broward,26.2702,-80.2591,4.9788,1.7924
Sterling Heights,MI,Macomb,42.5809,-83.0305,3.8465,1.3847
Yuba City,CA,Sutter,39.1357,-121.6383,5.2126,1.8765
Yakima,WA,Yakima,46.5923,-120.5496,4.1419,1.4911
Carrollton,TX,Dallas,32.989,-96.8999,4.7744,1.7188
Racine,WI,Racine,42.7274,-87.8135,3.7545,1.3516
Johnson City,TN,Washington,36.3406,-82.3806,4.3252,1.5571
Billings,MT,Yellowstone,45.7891,-108.5526,4.1767,1.5036
Iowa City,IA,Johnson,41.6559,-91.5303,4.1197,1.4831
Dover,DE,Kent,39.161,-75.5202,4.1793,1.5045
Bellingham,WA,Whatcom,48.7548,-122.469,3.6569,1.3165
Charleston,WV,Kanawha,38.3484,-81.6322,4.0256,1.4492
Lynchburg,VA,Lynchburg,37.4003,-79.1909,4.3419,1.5631
Santa Clara,CA,Santa Clara,37.3646,-121.968,5.4264,1.9535
Norman,OK,Cleveland,35.2335,-97.3471,4.8256,1.7372
Greenville,NC,Pitt,35.5943,-77.376,4.5289,1.6304
Simi Valley,CA,Ventura,34.2663,-118.749,5.6778,2.044
Fort Smith,AR,Sebastian,35.3495,-94.3695,4.5001,1.62
Abilene,TX,Taylor,32.4543,-99.7384,5.2119,1.8763
Arecibo,PR,Arecibo,18.4491,-66.7387,5.5331,1.9919
Lewisville,TX,Denton,33.0454,-96.9815,4.7418,1.707
Pearland,TX,Brazoria,29.5581,-95.3218,4.7376,1.7055
Lehigh Acres,FL,Lee,26.612,-81.6388,5.1341,1.8483
Kenosha,WI,Kenosha,42.5865,-87.8773,3.7545,1.3516
Seaside,CA,Monterey,36.6224,-121.8199,5.3507,1.9263
Burlington,VT,Chittenden,44.4876,-73.2316,3.5756,1.2872
Arvada,CO,Jefferson,39.832,-105.151,4.83,1.7388
Waldorf,MD,Charles,38.6085,-76.9194,4.345,1.5642
Independence,MO,Jackson,39.0871,-94.3501,4.3191,1.5549
Rochester,MN,Olmsted,44.0154,-92.478,3.9651,1.4274
Logan,UT,Cache,41.7399,-111.8422,4.8707,1.7535
Harlingen,TX,Cameron,26.1916,-97.6977,4.9024,1.7649
Berkeley,CA,Alameda,37.8722,-122.276,4.8794,1.7566
Clovis,CA,Fresno,36.8278,-119.683,5.4624,1.9665
Round Rock,TX,Williamson,30.527,-97.6642,4.9071,1.7666
Pueblo,CO,Pueblo,38.2701,-104.6114,5.0743,1.8267
Temple,TX,Bell,31.1068,-97.3891,4.8957,1.7625
Meridian,ID,Ada,43.6116,-116.3977,4.5942,1.6539
Duluth,MN,St. Louis,46.7756,-92.1393,3.837,1.3813
The Woodlands,TX,Montgomery,30.1738,-95.5134,4.7151,1.6974
Boulder,CO,Boulder,40.0248,-105.2524,4.7164,1.6979
Richardson,TX,Dallas,32.9716,-96.7093,4.7744,1.7188
Cambridge,MA,Middlesex,42.3759,-71.1185,3.9001,1.404
West Palm Beach,FL,Palm Beach,26.7469,-80.132,4.9788,1.7924
Port Arthur,TX,Jefferson,29.8554,-93.9264,4.8263,1.7375
East Los Angeles,CA,Los Angeles,34.0326,-118.1691,5.6778,2.044
Redding,CA,Shasta,40.5698,-122.365,5.0348,1.8125
Clearwater,FL,Pinellas,27.979,-82.7623,5.2308,1.8831
Monroe,LA,Ouachita,32.5185,-92.0774,4.6017,1.6566
Utica,NY,Oneida,43.0962,-75.2261,3.6217,1.3038
St. Cloud,MN,Stearns,45.534,-94.1718,4.0474,1.4571
Mandeville,LA,St. Tammany,30.3751,-90.0904,4.6605,1.6778
West Jordan,UT,Salt Lake,40.6024,-112.0008,4.92,1.7712
North Charleston,SC,Charleston,32.9067,-80.0722,4.7988,1.7276
Richmond,CA,Contra Costa,37.9477,-122.3389,4.8794,1.7566
Westminster,CO,Adams,39.8837,-105.0624,4.83,1.7388
Saginaw,MI,Saginaw,43.4199,-83.9501,3.7992,1.3677
Kailua,HI,Honolulu,21.392,-157.7396,5.8149,2.0934
Brandon,FL,Hillsborough,27.9367,-82.3,5.2308,1.8831
Ponce,PR,Ponce,18.0127,-66.6212,5.5331,1.9919
Carlsbad,CA,San Diego,33.1246,-117.2834,5.4726,1.9701
Lowell,MA,Middlesex,42.6389,-71.3217,3.9001,1.404
Broken Arrow,OK,Tulsa,36.038,-95.7806,4.5563,1.6403
Elgin,IL,Kane,42.0383,-88.324,3.9446,1.4201
